,n_pref,n_items,relation,MSS,Time
1357,6,4,INCL,29,0.303727388381958
1358,6,4,LEX+,1,0.03825020790100098
1359,6,4,LEX,1,0.03622722625732422
1360,6,4,INCL,6,0.09209847450256348
1361,6,4,LEX+,1,0.03709697723388672
1362,6,4,LEX,2,0.05571246147155762
1363,6,4,INCL,6,0.08206701278686523
1364,6,4,LEX+,2,0.04964423179626465
1365,6,4,LEX,1,0.2005007266998291
1366,6,4,INCL,7376,72.87823224067688
1367,6,4,LEX+,1,0.19864726066589355
1368,6,4,LEX,3,0.17068958282470703
1369,6,4,INCL,376,4.250447988510132
1370,6,4,LEX+,3,0.16520071029663086
1371,6,4,LEX,3,0.07403326034545898
1372,6,4,INCL,72,0.7308788299560547
1373,6,4,LEX+,3,0.07553362846374512
1374,6,4,LEX,2,0.04515337944030762
1375,6,4,INCL,6,0.08347964286804199
1376,6,4,LEX+,2,0.049216270446777344
1377,6,4,LEX,1,0.036513566970825195
1378,6,4,INCL,24,0.2806720733642578
1379,6,4,LEX+,1,0.0386199951171875
1380,6,4,LEX,1,0.08332324028015137
1381,6,4,INCL,564,5.741038799285889
1382,6,4,LEX+,1,0.08217883110046387
1383,6,4,LEX,1,0.07000565528869629
1384,6,4,INCL,460,4.940649509429932
1385,6,4,LEX+,1,0.08511590957641602
1386,6,4,LEX,2,0.042684316635131836
1387,6,4,INCL,3,0.04630136489868164
1388,6,4,LEX+,2,0.03914213180541992
1389,6,4,LEX,1,0.037621259689331055
1390,6,4,INCL,2,0.046905517578125
1391,6,4,LEX+,1,0.03895258903503418
1392,6,4,LEX,2,0.04794788360595703
1393,6,4,INCL,6,0.08355855941772461
1394,6,4,LEX+,2,0.10250449180603027
1395,6,4,LEX,1,0.13024210929870605
1396,6,4,INCL,2522,24.782795906066895
1397,6,4,LEX+,1,0.12111496925354004
1398,6,4,LEX,1,0.08825230598449707
1399,6,4,INCL,4,0.08706116676330566
1400,6,4,LEX+,1,0.08673882484436035
1401,6,4,LEX,1,0.040886640548706055
1402,6,4,INCL,1,0.036019086837768555
1403,6,4,LEX+,1,0.038083553314208984
1404,6,4,LEX,3,0.1362607479095459
1405,6,4,INCL,440,4.957935810089111
1406,6,4,LEX+,3,0.13079071044921875
1407,6,4,LEX,3,0.07073211669921875
1408,6,4,INCL,72,0.7302498817443848
1409,6,4,LEX+,3,0.07496404647827148
1410,6,4,LEX,1,0.0365290641784668
1411,6,4,INCL,4,0.07286477088928223
1412,6,4,LEX+,1,0.039917707443237305
1413,6,4,LEX,1,0.03818011283874512
1414,6,4,INCL,4,0.07522964477539062
1415,6,4,LEX+,1,0.036458730697631836
1416,6,4,LEX,3,0.0732874870300293
1417,6,4,INCL,10,0.1321120262145996
1418,6,4,LEX+,3,0.07455158233642578
1419,6,4,LEX,1,0.037752389907836914
1420,6,4,INCL,5,0.07554316520690918
1421,6,4,LEX+,1,0.036721229553222656
1422,6,4,LEX,4,0.11392927169799805
1423,6,4,INCL,54,0.6167473793029785
1424,6,4,LEX+,4,0.10603475570678711
1425,6,4,LEX,1,0.05847597122192383
1426,6,4,INCL,72,0.788449764251709
1427,6,4,LEX+,1,0.056550025939941406
1428,6,4,LEX,3,0.1196444034576416
1429,6,4,INCL,440,4.8364996910095215
1430,6,4,LEX+,3,0.12225174903869629
1431,6,4,LEX,3,0.07896089553833008
1432,6,4,INCL,10,0.13336968421936035
1433,6,4,LEX+,3,0.07619762420654297
1434,6,4,LEX,1,0.03892660140991211
1435,6,4,INCL,24,0.2763230800628662
1436,6,4,LEX+,1,0.04043006896972656
1437,6,4,LEX,2,0.0460200309753418
1438,6,4,INCL,3,0.0575103759765625
1439,6,4,LEX+,2,0.04760575294494629
1440,6,4,LEX,3,0.12421703338623047
1441,6,4,INCL,960,9.752623319625854
1442,6,4,LEX+,3,0.12468338012695312
1443,6,4,LEX,3,0.07405447959899902
1444,6,4,INCL,19,0.2081613540649414
1445,6,4,LEX+,3,0.07122159004211426
1446,6,4,LEX,1,0.21904873847961426
1447,6,4,INCL,1160,12.323330879211426
1448,6,4,LEX+,1,0.15694189071655273
1449,6,4,LEX,1,0.03584122657775879
1450,6,4,INCL,2,0.0482332706451416
1451,6,4,LEX+,1,0.03594493865966797
1452,6,4,LEX,1,0.03718400001525879
1453,6,4,INCL,13,0.14792227745056152
1454,6,4,LEX+,1,0.03834939002990723
1455,6,4,LEX,1,0.09118533134460449
1456,6,4,INCL,344,3.7259554862976074
1457,6,4,LEX+,1,0.08961081504821777
1458,6,4,LEX,2,0.060103654861450195
1459,6,4,INCL,6,0.10509061813354492
1460,6,4,LEX+,2,0.054670095443725586
1461,6,4,LEX,2,0.26546645164489746
1462,6,4,INCL,723,7.801021099090576
1463,6,4,LEX+,2,0.24838018417358398
1464,6,4,LEX,3,0.10747909545898438
1465,6,4,INCL,440,4.8401198387146
1466,6,4,LEX+,3,0.10394120216369629
1467,6,4,LEX,1,0.0368804931640625
1468,6,4,INCL,1,0.03921008110046387
1469,6,4,LEX+,1,0.03651094436645508
1470,6,4,LEX,1,0.039650678634643555
1471,6,4,INCL,24,0.2748591899871826
1472,6,4,LEX+,1,0.03800535202026367
1473,6,4,LEX,3,0.0708925724029541
1474,6,4,INCL,19,0.20826339721679688
1475,6,4,LEX+,3,0.07306647300720215
1476,6,4,LEX,2,0.24024605751037598
1477,6,4,INCL,717,7.729022026062012
1478,6,4,LEX+,2,0.2974412441253662
1479,6,4,LEX,2,0.048797607421875
1480,6,4,INCL,6,0.08239936828613281
1481,6,4,LEX+,2,0.045572757720947266
1482,6,4,LEX,3,0.07392525672912598
1483,6,4,INCL,19,0.2116680145263672
1484,6,4,LEX+,3,0.07102036476135254
1485,6,4,LEX,1,0.0777897834777832
1486,6,4,INCL,14,0.1988518238067627
1487,6,4,LEX+,1,0.07103490829467773
1488,6,4,LEX,3,0.07404613494873047
1489,6,4,INCL,19,0.2113635540008545
1490,6,4,LEX+,3,0.07343697547912598
1491,6,4,LEX,2,0.04682016372680664
1492,6,4,INCL,6,0.08292222023010254
1493,6,4,LEX+,2,0.04592299461364746
1494,6,4,LEX,2,0.0480799674987793
1495,6,4,INCL,6,0.08362245559692383
1496,6,4,LEX+,2,0.048227787017822266
1497,6,4,LEX,1,0.027957439422607422
1498,6,4,INCL,8,0.10174560546875
1499,6,4,LEX+,1,0.0293729305267334
1500,6,4,LEX,1,0.03956127166748047
1501,6,4,INCL,5,0.07310271263122559
1502,6,4,LEX+,1,0.03640413284301758
1503,6,4,LEX,3,0.07295608520507812
1504,6,4,INCL,72,0.724341630935669
1505,6,4,LEX+,3,0.07384538650512695
1506,6,4,LEX,3,0.10636186599731445
1507,6,4,INCL,440,4.917388677597046
1508,6,4,LEX+,3,0.1069488525390625
1509,6,4,LEX,1,0.03900027275085449
1510,6,4,INCL,2,0.04567456245422363
1511,6,4,LEX+,1,0.03714108467102051
1512,6,4,LEX,2,0.04893374443054199
1513,6,4,INCL,3,0.05675840377807617
1514,6,4,LEX+,2,0.04519200325012207
1515,6,4,LEX,2,0.048436641693115234
1516,6,4,INCL,3,0.05315232276916504
1517,6,4,LEX+,2,0.05044913291931152
