,budget,theta,n_theta_min,n_preferences,additivity,size,sizes_sum,C,W,T
0,1,heuristic,4,1,2,14,24,2,0,2
1,1,random,4,1,1,1,1,10,7,21
2,1,union,4,1,1,4,4,2,0,2
3,1,all_thetas,4,1,1,1,1,2,0,2
4,1,heuristic,4,1,2,14,24,0,0,0
5,1,random,4,1,1,1,1,18,0,24
6,1,union,4,1,1,4,4,1,0,1
7,1,all_thetas,4,1,1,1,1,1,0,1
8,1,heuristic,4,1,1,4,4,0,0,0
9,1,random,4,1,1,1,1,14,2,24
10,1,union,4,1,1,4,4,0,0,0
11,1,all_thetas,4,1,1,1,1,0,0,0
12,1,heuristic,4,1,1,4,4,0,0,0
13,1,random,4,1,1,1,1,2,15,21
14,1,union,4,1,1,4,4,0,0,0
15,1,all_thetas,4,1,1,1,1,0,0,0
16,1,heuristic,4,1,1,4,4,1,0,1
17,1,random,4,1,1,1,1,4,16,24
18,1,union,4,1,1,4,4,1,0,1
19,1,all_thetas,4,1,1,1,1,1,0,1
20,2,heuristic,1,3,1,2,2,24,2,33
21,2,random,1,3,1,2,2,24,2,33
22,2,union,1,3,1,2,2,24,2,33
23,2,all_thetas,1,3,1,2,2,24,2,33
24,2,heuristic,1,3,1,2,2,29,3,35
25,2,random,1,3,1,2,2,29,3,35
26,2,union,1,3,1,2,2,29,3,35
27,2,all_thetas,1,3,1,2,2,29,3,35
28,2,heuristic,1,3,2,5,8,0,0,0
29,2,random,1,3,1,2,2,20,8,32
30,2,union,1,3,1,2,2,20,8,32
31,2,all_thetas,1,3,1,2,2,20,8,32
32,2,heuristic,1,3,2,5,8,2,1,6
33,2,random,1,3,1,2,2,16,4,33
34,2,union,1,3,1,2,2,16,4,33
35,2,all_thetas,1,3,1,2,2,16,4,33
36,2,heuristic,1,3,2,5,8,7,0,9
37,2,random,1,3,1,2,2,22,2,35
38,2,union,1,3,1,2,2,22,2,35
39,2,all_thetas,1,3,1,2,2,22,2,35
40,3,heuristic,2,5,2,5,8,7,0,15
41,3,random,2,5,2,2,3,24,0,32
42,3,union,2,5,2,3,5,11,0,19
43,3,all_thetas,2,5,2,2,3,20,0,28
44,3,heuristic,4,5,2,18,30,1,0,1
45,3,random,4,5,1,2,2,22,2,33
46,3,union,4,5,1,5,5,4,0,4
47,3,all_thetas,4,5,1,2,2,15,0,18
48,3,heuristic,2,5,2,5,8,8,3,11
49,3,random,2,5,2,2,3,23,5,33
50,3,union,2,5,2,3,5,14,5,21
51,3,all_thetas,2,5,2,2,3,21,5,30
52,3,heuristic,2,5,2,5,8,7,2,11
53,3,random,2,5,2,2,3,24,5,35
54,3,union,2,5,2,3,5,13,4,21
55,3,all_thetas,2,5,2,2,3,21,4,30
56,3,heuristic,2,5,2,5,8,7,0,9
57,3,random,2,5,2,2,3,25,1,31
58,3,union,2,5,2,3,5,10,1,14
59,3,all_thetas,2,5,2,2,3,24,1,29
60,4,heuristic,1,8,2,7,11,8,0,8
61,4,random,1,8,1,2,2,26,0,31
62,4,union,1,8,1,2,2,26,0,31
63,4,all_thetas,1,8,1,2,2,26,0,31
64,4,heuristic,1,8,2,7,11,8,1,11
65,4,random,1,8,1,2,2,16,2,23
66,4,union,1,8,1,2,2,16,2,23
67,4,all_thetas,1,8,1,2,2,16,2,23
68,4,heuristic,1,8,2,7,11,8,1,12
69,4,random,1,8,1,2,2,24,2,33
70,4,union,1,8,1,2,2,24,2,33
71,4,all_thetas,1,8,1,2,2,24,2,33
72,4,heuristic,1,8,1,3,3,26,1,30
73,4,random,1,8,1,2,2,26,1,31
74,4,union,1,8,1,2,2,26,1,31
75,4,all_thetas,1,8,1,2,2,26,1,31
76,4,heuristic,1,8,2,7,11,7,2,11
77,4,random,1,8,1,2,2,24,2,31
78,4,union,1,8,1,2,2,24,2,31
79,4,all_thetas,1,8,1,2,2,24,2,31
80,5,heuristic,1,11,2,7,10,11,0,13
81,5,random,1,11,1,2,2,26,0,31
82,5,union,1,11,1,2,2,26,0,31
